attack_type,attack_vector,system_affected,downtime_hours,records_compromised,detection_delay_minutes,security_level,operational_loss
DDoS,USB,Billing,2,39117,53,Low,6691894.0
Malware,Email,Billing,22,24641,156,High,2167636.25
DDoS,USB,EHR,15,76792,51,High,7961503.999999999
Ransomware,Network,EHR,29,34660,293,High,5653808.0
Ransomware,Network,EHR,27,65332,294,Low,21667071.0
Ransomware,Network,PACS,21,1628,143,Low,2145944.8000000003
Malware,Network,PACS,31,53729,172,Low,11312232.8
Ransomware,Email,PACS,27,29362,18,Low,9150008.0
DDoS,USB,Billing,47,90494,284,Low,17847770.999999996
Malware,USB,Billing,36,32274,224,Low,6947605.0
Ransomware,Email,PACS,11,71943,51,Medium,13835304.4
Ransomware,Network,PACS,23,60204,38,Medium,12400199.2
Phishing,Email,EHR,26,95535,299,High,8816350.0
Malware,USB,PACS,42,14652,144,Medium,3717873.6
Ransomware,Network,PACS,7,22894,232,High,2794813.5999999996
Ransomware,USB,Billing,43,7401,221,High,2078067.4999999998
Phishing,USB,EHR,3,32138,143,Medium,4928708.0
Ransomware,Email,Billing,4,23775,111,High,2419261.5
Malware,USB,PACS,34,55787,41,Low,11726393.4
Ransomware,USB,Billing,42,86343,16,Medium,16002107.0
DDoS,Email,Billing,39,24810,270,High,2753185.0
Phishing,USB,EHR,33,37955,82,Low,9263265.0
Ransomware,Network,Billing,38,95360,240,Medium,17532045.0
Ransomware,USB,Billing,31,21306,141,Medium,5100325.0
DDoS,USB,PACS,10,13328,192,Medium,2518654.0
Ransomware,USB,Billing,43,45486,5,Low,12592154.0
Malware,Email,Billing,43,30983,9,Low,6894224.0
Ransomware,Network,PACS,28,81361,88,Medium,16545372.399999999
DDoS,Email,EHR,29,11089,274,High,2064550.0
Ransomware,Network,EHR,2,71830,72,Low,21028133.0
Ransomware,Network,EHR,6,12200,13,High,1798651.0
Malware,Network,Billing,27,91876,191,Medium,11788752.0
DDoS,Email,Billing,21,93970,190,Low,17060478.0
Phishing,Network,PACS,46,25758,197,Medium,5009043.0
DDoS,Network,EHR,26,84151,185,High,9130128.0
DDoS,Network,EHR,6,64870,257,High,6646217.0
DDoS,Network,PACS,4,37342,30,Low,7404386.800000001
Phishing,USB,PACS,12,58276,250,Low,10346993.200000001
DDoS,Network,EHR,32,72928,122,High,8140631.999999999
DDoS,Network,Billing,3,43718,44,Medium,5610956.0
Malware,Email,PACS,6,40540,272,Low,7816444.600000001
DDoS,USB,PACS,46,19457,271,Medium,4939885.399999999
Ransomware,USB,PACS,3,12610,99,Low,3428815.2
Phishing,Email,EHR,35,8763,12,Medium,2747133.0
Ransomware,Network,PACS,16,68227,269,Medium,13720527.6
Malware,Network,Billing,10,1140,296,High,370861.0
Malware,Network,EHR,8,55479,104,Medium,9166052.0
DDoS,Email,Billing,42,50148,96,Low,10683910.0
Phishing,USB,Billing,12,17297,97,High,1401617.0
Ransomware,Network,EHR,48,88161,31,High,12976461.0
Ransomware,USB,EHR,19,90582,167,High,12290609.0
Phishing,Email,EHR,1,70037,256,Medium,10371940.0
Phishing,Email,PACS,20,41716,221,Medium,6021274.8
Phishing,Network,EHR,1,56466,265,High,4889081.0
Ransomware,Network,EHR,13,8549,288,High,1767975.0
Ransomware,Email,Billing,8,79232,220,Medium,13470136.0
Ransomware,Network,PACS,11,50572,132,High,5894805.399999999
DDoS,Email,PACS,11,68128,173,Low,13839596.4
Malware,USB,EHR,40,79231,293,High,8428287.0
Ransomware,Network,Billing,32,56614,266,Low,14611099.0
DDoS,Email,PACS,40,68733,104,Medium,11630294.6
Malware,Network,EHR,38,26499,73,High,3465592.0
Malware,Email,Billing,14,96009,250,Medium,11896928.0
Phishing,USB,EHR,37,14693,209,High,2312700.0
DDoS,USB,PACS,36,67154,221,High,6606664.0
DDoS,Network,PACS,33,855,27,Medium,1538818.5999999999
Malware,Email,Billing,33,21913,120,High,2221429.25
Malware,USB,EHR,24,30806,86,Medium,5990455.0
DDoS,USB,PACS,9,91947,177,Medium,13683218.2
Malware,Email,PACS,45,59268,90,Medium,9755242.799999999
DDoS,USB,Billing,10,14190,284,Low,3212754.0
DDoS,USB,PACS,3,4241,2,Medium,733436.4
Malware,Network,EHR,25,82965,291,Medium,14423964.0
DDoS,Network,EHR,24,48783,148,Medium,9550461.999999998
Phishing,Email,Billing,15,70550,229,High,4812932.0
DDoS,Email,Billing,10,25622,67,Low,4838023.999999999
Ransomware,USB,PACS,38,40721,241,Medium,9837146.2
Phishing,Network,Billing,1,60684,41,Low,8774208.0
DDoS,Email,Billing,19,72750,181,High,5797274.0
Phishing,Email,EHR,32,88703,103,Medium,14248183.0
Ransomware,Email,Billing,33,12604,198,High,2247517.0
Ransomware,Network,Billing,40,50048,197,Low,13691301.0
Phishing,USB,EHR,38,90428,98,Medium,14738574.0
Malware,USB,EHR,13,68401,136,Medium,11414469.0
Ransomware,USB,Billing,26,21899,243,High,2924672.5
DDoS,Email,PACS,21,2792,85,Medium,1420664.5999999999
DDoS,Network,Billing,13,39843,162,Medium,5615946.0
Malware,Email,Billing,19,10062,103,Low,2573902.0
Malware,Network,PACS,40,42120,85,High,4222169.5
DDoS,Email,EHR,20,10660,163,Medium,2993557.0
Ransomware,Email,PACS,48,63645,235,High,8541995.5
Phishing,Email,EHR,47,45297,279,Low,11763371.0
Malware,USB,PACS,28,64916,97,High,5740343.3
Ransomware,USB,PACS,5,61199,194,Low,15655545.4
Ransomware,Email,EHR,9,69351,106,Low,20957505.0
Malware,Email,EHR,7,5552,2,Low,1547916.0
Malware,Network,EHR,5,27204,260,Low,6281477.0
Malware,USB,EHR,25,43888,8,High,4695561.0
Phishing,USB,EHR,30,23477,299,High,2920999.0
DDoS,USB,PACS,4,79706,215,Low,15692977.4
Phishing,USB,EHR,15,57933,222,High,5317116.0
Ransomware,USB,Billing,8,55059,293,Low,12809660.0
DDoS,USB,PACS,8,3682,110,High,541784.5999999999
Phishing,USB,PACS,44,17520,86,High,2223189.4
Phishing,Email,PACS,25,88631,202,Medium,11955057.2
Malware,Network,Billing,36,28619,219,High,2751696.25
Malware,Email,PACS,38,88428,48,Medium,13281896.6
Malware,Network,PACS,13,62055,116,Low,11789814.8
DDoS,Network,EHR,12,17755,112,Medium,3665990.0
Phishing,USB,PACS,48,87197,71,Low,16637698.600000001
Malware,Email,Billing,48,86343,133,Low,15846069.0
Ransomware,Email,Billing,17,2715,280,High,892103.5
DDoS,Email,PACS,46,9676,157,Low,4659814.2
DDoS,USB,EHR,46,30885,249,Medium,7804730.0
DDoS,Network,EHR,26,25535,285,Low,7890564.0
DDoS,USB,EHR,43,52324,121,Medium,11051143.0
Phishing,Email,PACS,19,79684,262,Medium,10655988.4
Ransomware,Network,EHR,10,91437,299,High,12083767.0
Phishing,Email,PACS,47,36690,248,Medium,6383104.2
Phishing,Email,PACS,15,95181,160,Low,16422827.200000001
Malware,Email,PACS,5,76275,130,Low,13856839.0
Phishing,Network,EHR,33,12119,39,Medium,3222232.0
Ransomware,USB,EHR,16,58918,49,Low,18394013.0
Ransomware,Network,PACS,23,99842,76,Low,26283073.400000002
DDoS,Email,EHR,13,91600,255,Low,21745467.0
Phishing,Email,EHR,32,74800,179,Low,16366820.0
Phishing,Email,Billing,28,6418,142,High,938918.9999999999
Malware,USB,PACS,4,35644,28,Medium,4931977.2
Phishing,Email,EHR,24,34428,142,Medium,6132793.0
Ransomware,Network,EHR,3,4378,60,Medium,1240728.0
Phishing,USB,EHR,38,97679,64,High,9239246.0
DDoS,Email,Billing,10,11972,70,High,1101402.0
Ransomware,USB,PACS,22,43806,177,Low,12588633.4
DDoS,Network,PACS,23,86961,95,High,7890895.3
Malware,USB,Billing,14,94507,129,Low,15472955.0
Ransomware,Email,Billing,29,18377,271,Medium,4661588.0
DDoS,Email,PACS,32,32283,212,Medium,6178843.0
Ransomware,Network,Billing,34,63188,138,High,7022649.0
Ransomware,USB,Billing,24,16389,294,Low,5479727.0
Phishing,Email,PACS,6,87117,14,Medium,10879740.4
Ransomware,Email,EHR,42,48748,158,Low,17952447.0
Malware,USB,EHR,18,72203,192,Medium,12304586.0
DDoS,Network,Billing,17,65761,41,Medium,8971055.0
Malware,Network,Billing,14,69017,292,Low,11687759.0
Ransomware,Network,EHR,47,84498,179,High,12561237.0
DDoS,USB,PACS,22,3559,198,Medium,1640690.5999999999
Ransomware,Network,EHR,12,58617,160,Medium,13622250.0
DDoS,USB,EHR,43,37948,124,Low,11527145.0
DDoS,Network,PACS,12,40441,62,Medium,6363680.399999999
Malware,Network,Billing,29,54848,241,High,4467067.5
DDoS,USB,Billing,14,436,231,Low,1031338.0
Malware,USB,PACS,12,10200,38,Medium,1853243.8
Malware,Email,PACS,23,56845,49,Medium,8538187.4
Malware,Email,PACS,37,95704,292,High,8382731.6
DDoS,USB,Billing,31,8910,68,Low,3146461.0
Ransomware,USB,EHR,14,82888,205,Medium,19084566.0
Phishing,Email,Billing,3,77870,297,Medium,8707381.0
Phishing,Network,PACS,35,37424,220,Low,8016726.800000001
Malware,USB,PACS,38,90420,38,Medium,13495577.799999999
DDoS,USB,EHR,46,27916,286,High,4291198.0
DDoS,Email,Billing,43,4696,28,High,1278923.0
Malware,USB,PACS,7,8484,114,High,826539.7999999999
Phishing,USB,EHR,48,842,254,Low,3253572.0
Ransomware,Network,PACS,17,89086,142,Medium,17490788.8
DDoS,Email,EHR,36,76423,91,Medium,14738624.0
Ransomware,USB,Billing,7,95015,132,High,9260509.5
DDoS,USB,PACS,36,31652,114,High,3617005.8
Phishing,Email,Billing,13,49626,247,High,3415740.0
Malware,Email,PACS,29,66534,71,Low,13375604.0
Phishing,USB,EHR,25,72089,141,Low,15469791.0
Phishing,USB,EHR,36,87081,243,Medium,14328668.0
DDoS,USB,Billing,19,20967,113,Medium,3398137.9999999995
Phishing,USB,EHR,2,50970,203,Medium,7591986.0
Ransomware,Email,Billing,47,10049,120,High,2356992.5
Malware,Email,Billing,25,86752,295,Low,14986502.0
Phishing,USB,Billing,33,13399,80,Low,3414842.0
Ransomware,Email,PACS,17,57825,10,High,6785916.5
Ransomware,USB,Billing,29,23845,232,Low,7294378.0
Malware,USB,PACS,21,6488,262,Medium,1949981.0
Phishing,USB,Billing,9,36943,242,High,2558311.0
Phishing,USB,EHR,38,52554,292,Low,12636174.0
Phishing,Email,PACS,15,32246,182,Low,6174859.600000001
DDoS,Email,EHR,23,95587,271,High,10171024.0
Malware,USB,Billing,10,16086,57,High,1314124.0
Phishing,Email,Billing,45,57826,204,High,4547106.0
Phishing,USB,Billing,8,93455,135,High,6058899.0
Malware,Email,Billing,2,40567,138,Low,6523679.0
Ransomware,Network,PACS,17,77301,212,High,8991271.299999999
Phishing,Network,Billing,13,6761,202,Medium,1315555.0
Ransomware,Network,EHR,20,56051,108,High,7855116.999999999
Malware,Email,Billing,1,38859,192,Medium,4700430.0
Ransomware,USB,EHR,8,29294,174,Low,9446920.0
Malware,USB,PACS,12,3825,284,Low,1590424.2000000002
Phishing,USB,Billing,42,15190,122,Low,4085549.0
Malware,Network,EHR,3,36981,84,Low,7971132.0
Malware,Network,PACS,37,58039,10,Medium,9184039.4
Malware,Network,Billing,2,74293,274,High,5249247.25
DDoS,Network,PACS,5,73391,25,High,6220178.3
Phishing,USB,Billing,32,3220,139,High,884769.0
Malware,Network,EHR,47,67532,169,Low,17222690.0
Ransomware,Network,EHR,8,21841,75,Medium,5371354.0
Malware,Email,PACS,5,20626,288,Medium,3155377.4
DDoS,Network,PACS,44,97420,263,Medium,16028089.399999997
DDoS,Network,EHR,43,80992,276,Medium,16034647.0
Ransomware,USB,EHR,2,22038,79,Medium,4947705.0
Malware,Network,PACS,26,69113,85,Low,13642207.4
Ransomware,Network,PACS,36,13821,297,High,2854624.3
Malware,Email,EHR,20,59667,80,Low,13725466.0
Phishing,Email,Billing,23,35093,66,High,2660461.0
Phishing,USB,Billing,26,57851,146,Low,9582462.0
Phishing,USB,EHR,46,66347,140,Medium,11651995.0
Malware,Email,Billing,17,47670,180,Medium,6328481.0
Malware,Network,Billing,28,92580,199,High,6937720.5
Malware,Network,PACS,16,29380,41,Low,6103861.800000001
Ransomware,USB,EHR,45,61573,55,Medium,16292659.0
DDoS,Network,Billing,34,31933,90,High,3090675.5
Phishing,USB,Billing,4,83167,180,Medium,9213842.0
DDoS,Network,PACS,32,96869,195,Medium,15401965.199999997
DDoS,USB,PACS,48,24499,203,Low,7643247.800000001
Phishing,Network,Billing,43,36489,282,Medium,5543263.0
Malware,Email,PACS,2,70075,151,High,5554077.35
Phishing,Email,EHR,28,35156,123,High,3744679.9999999995
Phishing,Email,Billing,31,25427,230,High,2287524.0
Malware,USB,Billing,11,91665,10,High,6520346.25
DDoS,USB,PACS,43,50835,152,Medium,9241047.6
Phishing,USB,PACS,27,26629,261,Medium,4394242.0
Ransomware,USB,PACS,24,58637,129,High,7130880.1
Phishing,USB,Billing,35,19741,64,High,1883160.9999999998
Malware,Network,EHR,12,54506,251,High,5400553.0
Ransomware,Email,EHR,3,64091,247,High,8376593.999999999
Malware,Email,EHR,9,3904,182,High,737659.0
DDoS,USB,Billing,30,59741,116,High,5133200.5
Phishing,USB,EHR,42,74719,210,Medium,12732269.0
DDoS,Email,Billing,40,96189,237,Low,18406071.999999996
Malware,Email,EHR,5,40157,171,Medium,6688989.0
Ransomware,Email,PACS,33,89892,71,Low,24531159.400000002
DDoS,Network,EHR,12,20671,140,Low,5577387.0
DDoS,USB,EHR,32,15970,177,High,2592730.9999999995
Phishing,Network,Billing,33,49354,1,Low,8549952.0
DDoS,USB,PACS,12,42030,186,Low,8895065.4
Malware,Email,EHR,4,92477,52,High,8527052.0
Malware,USB,Billing,24,40261,169,High,3323997.75
Malware,USB,EHR,11,38256,121,High,3860266.9999999995
Phishing,USB,PACS,11,7233,64,High,826982.7999999999
Ransomware,Email,PACS,31,35889,148,High,4942311.699999999
Malware,Email,Billing,30,34264,46,Medium,5078945.0
Malware,Network,Billing,30,47355,236,High,3940551.7499999995
Phishing,Email,EHR,40,37114,133,Medium,7139283.0
Phishing,USB,Billing,24,904,162,Medium,966782.0
Phishing,USB,PACS,18,4959,69,Low,1783459.6
Phishing,Network,PACS,23,39608,282,High,3404528.0
Phishing,Network,Billing,39,47267,245,Low,8751040.0
Phishing,Email,Billing,35,52375,35,Medium,6804645.0
Malware,USB,EHR,45,91933,11,Medium,16407921.0
Phishing,USB,PACS,46,59173,17,Low,11899747.0
Ransomware,USB,EHR,34,12310,92,Medium,4985656.0
Phishing,Network,Billing,9,17635,238,High,1419575.0
DDoS,USB,Billing,44,2027,143,Low,2693109.0
DDoS,Network,PACS,4,90166,55,Low,17477513.400000002
Malware,USB,PACS,36,208,136,Low,2112848.2
Phishing,USB,PACS,46,83371,147,Medium,12019710.2
Phishing,Email,EHR,14,6816,271,High,1028439.0
Phishing,Email,Billing,20,74679,195,Medium,8877727.0
Ransomware,Network,EHR,5,60410,120,Low,17991814.0
Malware,USB,PACS,30,98320,96,Medium,14292171.6
DDoS,Email,PACS,24,84277,6,Medium,13106143.4
DDoS,Email,EHR,43,86589,245,High,9870893.0
Phishing,USB,EHR,1,44526,196,Medium,6606576.0
Ransomware,Network,PACS,4,39822,192,Low,10342680.200000001
DDoS,Email,EHR,22,86116,102,High,9097925.0
Malware,USB,PACS,28,50017,52,Medium,7745808.399999999
Phishing,Network,EHR,15,6279,229,High,988728.9999999999
DDoS,Email,PACS,21,16377,73,Medium,3273458.0
DDoS,Network,PACS,10,19950,253,Medium,3447639.4
Ransomware,USB,Billing,43,31064,63,High,4146515.9999999995
DDoS,USB,PACS,33,92152,226,High,8655546.4
Malware,USB,PACS,4,42646,253,Medium,6041022.399999999
DDoS,Network,PACS,12,38083,209,Low,8169521.800000001
Phishing,Email,EHR,26,15335,82,High,1952483.9999999998
Phishing,Network,EHR,8,21400,205,Medium,3604686.0
Malware,Network,EHR,21,77447,179,Low,17624346.0
Phishing,Email,Billing,8,54611,33,High,3577298.0
DDoS,USB,Billing,27,11944,120,Low,3510345.0
Phishing,USB,EHR,32,12415,222,Medium,3390838.0
Malware,Network,Billing,3,11614,155,Medium,1539750.0
DDoS,Network,PACS,5,53985,111,High,4680345.299999999
DDoS,Network,Billing,22,75323,52,High,6009624.5
DDoS,USB,Billing,5,30808,183,Low,5572013.0
Malware,USB,EHR,21,18474,233,Low,5394072.0
DDoS,Network,PACS,6,66009,142,High,5717426.3
Ransomware,Network,Billing,36,70502,184,Low,17759133.0
Malware,Network,PACS,26,26141,197,High,2722587.05
Ransomware,Network,PACS,13,52760,54,Low,13925921.200000001
DDoS,Network,PACS,22,21020,169,Medium,4057650.1999999993
Ransomware,Email,PACS,36,5634,128,Low,4226223.600000001
Phishing,Network,PACS,30,67739,164,Low,12729231.600000001
DDoS,USB,Billing,18,52156,139,High,4298408.999999999
DDoS,USB,PACS,46,11142,264,Low,5055002.399999999
DDoS,USB,Billing,1,63276,58,High,4691312.0
Phishing,USB,PACS,42,3866,87,High,1229300.2
DDoS,USB,PACS,11,58814,64,Medium,8908331.4
Ransomware,Email,Billing,41,34499,207,Medium,7827861.0
Malware,USB,EHR,6,91232,230,Low,19654713.0
DDoS,Network,EHR,13,19729,214,Low,5563603.0
Ransomware,Email,EHR,10,54741,21,Low,16664469.0
Phishing,USB,EHR,26,64932,99,Low,14044333.0
Malware,USB,Billing,9,80042,193,Low,13049787.0
Malware,Email,PACS,47,70538,295,High,6641067.8
Phishing,USB,Billing,23,15888,254,Medium,2656296.0
Phishing,Network,Billing,32,92509,71,Low,14761941.0
DDoS,Email,Billing,6,5908,260,Low,1557349.0
DDoS,Email,Billing,39,25449,138,Low,6402590.0
Ransomware,USB,EHR,47,60997,31,Medium,16221956.0
DDoS,Email,Billing,30,42246,179,Low,8839463.0
DDoS,USB,Billing,25,53451,162,Medium,7756518.0
Ransomware,Network,EHR,14,25167,116,Medium,6520598.0
Phishing,USB,EHR,24,71682,43,Medium,11421843.0
DDoS,Email,Billing,31,52064,296,High,4690618.0
DDoS,Network,PACS,5,56093,254,Medium,8486004.599999998
Malware,Email,EHR,18,97186,80,Low,21388618.0
DDoS,Email,PACS,2,77321,49,Low,14865893.0
Malware,USB,Billing,18,98742,171,High,7205273.0
Phishing,Email,PACS,19,55747,98,Low,10153511.0
DDoS,Email,PACS,44,21165,281,Medium,5167561.8
Malware,Email,Billing,3,38692,253,Low,6413096.0
Phishing,USB,Billing,40,25093,27,High,2377169.0
Malware,USB,PACS,22,86366,48,High,7165616.899999999
DDoS,USB,Billing,12,41461,42,Low,7574965.0
Malware,Network,EHR,31,58072,226,Medium,10751971.0
Ransomware,USB,EHR,12,28045,142,Medium,7057771.0
DDoS,Network,Billing,28,96543,267,Low,17941057.999999996
DDoS,USB,PACS,31,20517,155,Medium,4403525.6
Malware,Email,PACS,44,83819,13,Low,17157298.6
Malware,Email,PACS,20,96897,177,Medium,13788202.4
Phishing,Network,PACS,38,84938,18,High,6884239.399999999
Ransomware,Network,PACS,32,85215,85,Medium,17484135.0
Ransomware,USB,Billing,5,41470,77,High,4087874.9999999995
DDoS,Network,Billing,31,94491,60,Low,17448793.0
DDoS,Email,PACS,20,29431,77,High,3031752.9
DDoS,Network,EHR,10,3780,205,Medium,1377680.0
DDoS,Network,EHR,31,54938,289,Low,14765318.0
Ransomware,USB,Billing,36,52433,202,High,6060744.5
Ransomware,Network,Billing,2,96881,67,Medium,15874662.0
Malware,USB,Billing,41,26930,107,Medium,4677149.0
Ransomware,Email,PACS,33,6537,43,Medium,3030527.0
Ransomware,USB,PACS,31,23166,7,High,3451300.8
Phishing,USB,Billing,14,270,148,Low,745077.0
DDoS,USB,PACS,26,53507,191,Medium,8950601.4
Malware,Email,Billing,22,44377,172,Medium,6035362.0
Malware,USB,PACS,42,52600,182,Medium,8798970.2
DDoS,Email,EHR,21,59675,239,Low,15134360.0
Malware,Email,Billing,19,71422,82,Medium,9038550.0
Malware,USB,PACS,2,63103,139,Low,11375449.600000001
Ransomware,Email,EHR,6,80951,277,Low,24308110.0
Ransomware,USB,EHR,19,22908,9,High,3627323.0
Malware,USB,EHR,24,40309,147,High,4380399.0
Phishing,Network,Billing,32,38526,238,High,3104343.0
Malware,Email,Billing,25,93382,297,Medium,12040287.0
Ransomware,Email,EHR,48,9440,107,High,3114005.0
Phishing,Email,Billing,7,46407,260,Medium,5359814.0
Malware,Email,Billing,41,85315,84,Medium,11455136.0
Phishing,Network,EHR,20,58360,233,Medium,9430061.0
DDoS,USB,Billing,33,6651,242,High,1307977.5
Malware,Email,Billing,35,77397,50,Low,13763320.0
Malware,USB,Billing,15,41620,158,Low,7350294.0
Ransomware,Network,EHR,22,31768,227,Low,11491868.0
DDoS,Email,Billing,20,12550,43,Low,3181855.0
DDoS,USB,PACS,31,48417,81,High,4854630.899999999
Ransomware,Network,PACS,45,84303,297,High,10671962.5
DDoS,Network,Billing,8,97597,177,High,7407440.499999999
DDoS,USB,Billing,32,27373,41,High,2743782.5
DDoS,Email,Billing,32,49065,255,Low,10157264.0
Ransomware,USB,EHR,15,92509,34,High,12280723.0
Malware,Network,EHR,20,25542,116,Low,6753975.0
Malware,Email,PACS,48,78365,81,Low,16530940.8
Ransomware,Email,EHR,35,853,227,High,1556279.0
Malware,USB,Billing,24,54453,296,Low,9906392.0
Malware,Network,Billing,27,93016,198,Medium,11967941.0
Ransomware,Network,PACS,45,62575,43,High,8195029.3
Phishing,Network,PACS,29,955,186,Low,1765696.2000000002
Malware,Network,Billing,27,67637,223,High,5297711.75
DDoS,USB,Billing,24,89165,121,Medium,12240612.0
Ransomware,USB,EHR,30,97494,160,Low,30987621.0
DDoS,USB,Billing,4,49166,266,Medium,6550638.0
Malware,Network,EHR,30,62032,69,Low,14816471.0
Ransomware,USB,Billing,1,48159,55,High,4651204.5
Malware,Email,PACS,40,22649,59,High,2746649.05
Ransomware,Email,EHR,12,15592,134,Low,5725616.0
Ransomware,USB,Billing,33,62480,141,Medium,11910645.0
Ransomware,Email,Billing,36,5864,219,Medium,2921728.0
DDoS,USB,PACS,34,60085,190,High,5918559.5
DDoS,USB,PACS,36,12987,128,Low,4665003.0
Ransomware,USB,PACS,2,47170,47,High,5103110.199999999
Ransomware,USB,PACS,35,26465,51,High,3953537.0999999996
DDoS,Network,Billing,2,951,202,Medium,304997.0
DDoS,Network,PACS,3,36897,202,Medium,5543237.2
Ransomware,USB,Billing,4,95743,44,High,9194694.5
Ransomware,Network,PACS,45,17667,202,High,3432302.9
Phishing,Email,Billing,15,35214,72,Medium,4372837.0
Malware,Network,EHR,38,78044,97,Low,18726992.0
DDoS,Network,Billing,1,56718,299,High,4289055.999999999
Ransomware,USB,EHR,40,31954,286,High,5713636.0
DDoS,USB,Billing,38,26735,166,Medium,4962857.0
Phishing,Email,PACS,35,81256,213,Medium,11372779.6
Ransomware,USB,PACS,20,71033,4,High,8273557.699999999
Ransomware,USB,PACS,30,89593,161,Low,24397574.200000003
Malware,Email,EHR,12,65466,96,High,6328692.0
DDoS,USB,Billing,19,27869,218,High,2553223.5
Ransomware,Email,EHR,12,25394,172,High,3744094.9999999995
DDoS,USB,EHR,3,99827,137,High,9951780.0
Malware,Network,Billing,6,48966,247,Low,8129832.0
DDoS,USB,EHR,19,57876,294,High,6409937.0
Malware,Network,PACS,36,59970,285,Medium,9651328.0
Phishing,USB,PACS,28,46150,8,Medium,6665751.2
Ransomware,USB,PACS,7,69346,251,Low,17837443.6
Phishing,Network,EHR,25,62507,3,Low,13484354.0
Malware,Network,PACS,31,29157,100,Medium,5227283.2
Ransomware,Network,EHR,21,28119,160,Medium,7656671.0
DDoS,Network,PACS,26,14427,233,Low,4540935.0
Malware,Email,Billing,26,16102,263,High,1712523.0
Malware,USB,Billing,12,59152,295,Low,10110177.0
Phishing,Email,Billing,46,80507,167,Low,13716146.0
DDoS,USB,PACS,20,38381,96,High,3735137.0999999996
DDoS,Network,Billing,42,25713,31,High,2852571.5
DDoS,Email,Billing,37,24847,151,High,2705348.5
Ransomware,Email,EHR,48,24932,296,Medium,8925848.0
Malware,USB,EHR,14,61142,172,Low,13854931.0
Ransomware,Network,Billing,16,80257,272,Low,18748835.0
DDoS,USB,Billing,40,10788,277,High,1782724.0
Ransomware,USB,EHR,24,93313,27,High,12723267.0
Malware,Email,EHR,14,49468,39,Medium,8441087.0
DDoS,Network,PACS,33,63165,146,Low,14034029.4
Ransomware,Network,PACS,35,83124,219,High,10128794.799999999
Ransomware,Email,EHR,28,74996,207,Low,24334401.0
Ransomware,USB,Billing,4,21395,239,Low,5212010.0
Phishing,USB,PACS,14,79182,204,Medium,10309020.4
Phishing,Email,Billing,28,95028,195,Medium,11305015.0
Phishing,USB,EHR,21,63513,79,High,5909021.0
Ransomware,Email,EHR,40,635,140,High,1711869.0
Malware,Email,PACS,3,64747,102,High,5142269.649999999
DDoS,Email,PACS,46,81871,207,High,8055663.899999999
DDoS,Network,Billing,6,79649,36,Low,13678229.0
DDoS,Network,Billing,7,20666,214,Medium,3043930.0
Malware,Network,Billing,30,84568,220,High,6473219.0
Ransomware,Email,PACS,5,49863,72,Medium,9550049.0
DDoS,Email,Billing,17,97914,54,Medium,13042496.0
Phishing,USB,PACS,14,69765,214,High,5381431.6
Ransomware,USB,Billing,20,98440,298,High,10045822.0
Malware,Network,EHR,31,4234,144,Medium,2214313.0
Phishing,USB,EHR,5,84674,12,Low,16571724.0
Phishing,Network,PACS,9,31244,289,High,2530537.1999999997
Malware,Email,EHR,18,17474,212,Low,4984114.0
DDoS,Network,PACS,31,69798,163,Medium,11405862.799999999
Malware,USB,EHR,48,64055,249,Medium,12437730.0
Malware,Network,PACS,42,88864,264,Medium,13710314.799999999
DDoS,USB,PACS,23,5804,116,High,1067919.9999999998
Phishing,USB,PACS,34,39838,125,Low,8270644.600000001
Malware,Email,EHR,21,57732,1,Low,13339585.0
DDoS,Email,EHR,2,22276,194,Medium,3996632.0
DDoS,Email,EHR,42,63762,210,Low,17403229.0
Ransomware,Email,Billing,45,14885,34,High,2679426.5
DDoS,Network,EHR,8,80421,150,Low,18756882.0
Malware,USB,Billing,12,68656,262,Low,11504337.0
Phishing,USB,PACS,43,5872,288,Medium,2463024.0
Malware,Email,PACS,48,73455,201,High,6853148.35
Ransomware,USB,Billing,16,81054,76,Medium,13932750.0
DDoS,Email,Billing,21,86798,145,Medium,11867600.0
Ransomware,Network,PACS,44,60388,209,Medium,13703543.2
Ransomware,Network,PACS,31,96071,62,Medium,19432174.8
Phishing,Email,EHR,5,1003,199,Low,697607.0
Phishing,USB,Billing,5,39252,107,High,2655125.0
Phishing,Network,Billing,28,44384,210,Low,7764574.0
Malware,USB,Billing,42,52662,240,Low,10390844.0
Ransomware,Email,Billing,14,92012,6,Low,20747851.0
Ransomware,Network,PACS,39,31006,19,High,4609713.0
Malware,Email,Billing,28,89532,299,High,6782699.5
DDoS,Email,Billing,2,84581,297,Medium,10982335.0
Malware,Email,EHR,21,48088,115,Medium,8606984.0
Phishing,USB,Billing,25,83544,41,Low,13178282.0
Ransomware,Network,Billing,2,25065,232,Medium,4380865.0
Phishing,Email,EHR,48,6896,87,High,1824615.0
DDoS,Email,PACS,5,21086,233,High,2041087.2
Phishing,Email,EHR,22,19556,256,High,2372826.0
Ransomware,USB,EHR,45,33837,74,Medium,10317116.0
Phishing,Network,Billing,29,4059,238,Low,2071444.0
Malware,USB,EHR,26,90293,167,High,9054312.0
Malware,Email,PACS,28,22008,42,Medium,4029048.0
Phishing,Network,EHR,12,16599,252,Low,4159985.0
Ransomware,Email,PACS,8,38113,133,Medium,7592414.6
Phishing,Network,Billing,31,77253,206,High,5536395.0
Phishing,USB,PACS,6,27101,48,Low,4746511.8
DDoS,Network,PACS,25,97036,110,Low,20012412.4
